"statistic, pvalue, row is better than column",best set: template_3,template_16,template_44,template_13,template_17,template_2,template_52,template_19,template_14,template_11,template_26,template_25,template_20,template_53,template_50,template_51,template_49,template_31,template_55,template_33,template_46,template_48,template_10,template_43,template_24,template_6,template_7,template_22,template_12,template_8,template_27,template_4,template_18,template_9,template_21,template_54,template_0,template_1,template_47,template_34,template_35,template_37,template_41,template_45,template_15,template_23,template_5,template_42,template_28,template_29,template_30,template_32,template_40,template_39,template_38,template_36,group,accuracy
template_45,"0.00, 0.06, False","0.00, 0.06, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","1.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","1.00, 1.00, False","0.00, 1.00, False","1.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, True","0.00, 1.00, True","1.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True",None,"1.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","1.00, 1.00, True","1.00, 1.00, True","0.00, 1.00, True","1.00, 1.00, True","1.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 0.50, True",A,0.18
template_15,"0.00, 0.06, False","0.00, 0.06, False","0.00, 0.25, False","0.00, 0.25, False","1.00, 0.38, False","0.00, 0.25, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","1.00, 0.62, False","0.00, 0.50, False","1.00, 0.62, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 1.00, False","1.00, 1.00, False","0.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","1.00, 1.00, False","0.00, 1.00, False","1.00, 1.00, False","0.00, 1.00, False","1.00, 1.00, True","1.00, 1.00, True","1.00, 1.00, True","1.00, 1.00, True","1.00, 1.00, True","1.00, 1.00, True","1.00, 1.00, True","1.00, 1.00, True","1.00, 1.00, True","1.00, 1.00, True",None,"1.00, 1.00, None","1.00, 1.00, None","1.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","1.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 0.50, True",A,0.18
template_23,"0.00, 0.06, False","0.00, 0.06, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","1.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","1.00, 1.00, False","0.00, 1.00, False","1.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, True","0.00, 1.00, True","1.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","1.00, 1.00, True",None,"0.00, 1.00, None","1.00, 1.00, True","1.00, 1.00, True","0.00, 1.00, True","1.00, 1.00, True","1.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 0.50, True",A,0.18
template_5,"0.00, 0.06, False","0.00, 0.06, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","1.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","1.00, 1.00, False","0.00, 1.00, False","1.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, True","0.00, 1.00, True","1.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","1.00, 1.00, True","0.00, 1.00, True",None,"1.00, 1.00, True","1.00, 1.00, True","0.00, 1.00, True","1.00, 1.00, True","1.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 0.50, True",A,0.18
template_42,"1.00, 0.07, False","0.00, 0.03, False","0.00, 0.12, False","1.00, 0.22, False","1.00, 0.22, False","0.00, 0.12, False","0.00, 0.25, False","1.00, 0.38, False","0.00, 0.25, False","1.00, 0.38, False","0.00, 0.25, False","1.00, 0.38, False","0.00, 0.25, False","1.00, 0.38, False","0.00, 0.25, False","1.00, 0.38, False","1.00, 0.38, False","1.00, 0.62, False","1.00, 0.62, False","1.00, 0.62, False","0.00, 0.50, False","1.00, 0.62, False","0.00, 0.50, False","1.00, 0.62, False","1.00, 0.62, False","1.00, 0.62, False","1.00, 0.62, False","1.00, 0.62, False","1.00, 0.62, False","0.00, 0.50, False","1.00, 0.62, False","0.00, 0.50, False","0.00, 0.50, False","1.00, 0.62, False","1.00, 1.00, False","1.00, 1.00, False","0.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False",None,"2.00, 1.00, None","1.00, 1.00, None","2.00, 1.00, None","2.00, 1.00, None","2.00, 1.00, None","1.00, 1.00, None","1.00, 1.00, None","1.00, 1.00, True",A,0.17
template_28,"0.00, 0.03, False","0.00, 0.03, False","0.00, 0.12, False","0.00, 0.12, False","1.00, 0.22, False","0.00, 0.12, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","1.00, 0.38, False","0.00, 0.25, False","1.00, 0.38, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.50, False","1.00, 0.62, False","0.00, 0.50, False","1.00, 0.62, False","1.00, 0.62, False","1.00, 0.62, False","0.00, 0.50, False","0.00, 0.50, False","1.00, 0.62, False","1.00, 0.62, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","1.00, 0.62, False","0.00, 0.50, False","1.00, 0.62, False","0.00, 0.50, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","0.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","2.00, 1.00, True",None,"1.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","1.00, 1.00, None","1.00, 1.00, None","1.00, 1.00, None","0.00, 1.00, True",B,0.17
template_29,"0.00, 0.03, False","0.00, 0.03, False","0.00, 0.12, False","0.00, 0.12, False","0.00, 0.12, False","0.00, 0.12, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","1.00, 1.00, True","1.00, 1.00, True",None,"1.00, 1.00, None","1.00, 1.00, None","1.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, True",B,0.17
template_30,"0.00, 0.03, False","0.00, 0.03, False","0.00, 0.12, False","0.00, 0.12, False","1.00, 0.22, False","0.00, 0.12, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","1.00, 0.38, False","0.00, 0.25, False","1.00, 0.38, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.50, False","1.00, 0.62, False","0.00, 0.50, False","1.00, 0.62, False","1.00, 0.62, False","1.00, 0.62, False","0.00, 0.50, False","0.00, 0.50, False","1.00, 0.62, False","1.00, 0.62, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","1.00, 0.62, False","0.00, 0.50, False","1.00, 0.62, False","0.00, 0.50, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","0.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","2.00, 1.00, True","0.00, 1.00, True","1.00, 1.00, True",None,"0.00, 1.00, None","1.00, 1.00, None","1.00, 1.00, None","1.00, 1.00, None","0.00, 1.00, True",B,0.17
template_32,"0.00, 0.03, False","0.00, 0.03, False","0.00, 0.12, False","0.00, 0.12, False","1.00, 0.22, False","0.00, 0.12, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","1.00, 0.38, False","0.00, 0.25, False","1.00, 0.38, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.50, False","1.00, 0.62, False","0.00, 0.50, False","1.00, 0.62, False","1.00, 0.62, False","1.00, 0.62, False","0.00, 0.50, False","0.00, 0.50, False","1.00, 0.62, False","1.00, 0.62, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","1.00, 0.62, False","0.00, 0.50, False","1.00, 0.62, False","0.00, 0.50, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","0.00, 1.00, False","1.00, 1.00, False","1.00, 1.00, False","2.00, 1.00, True","0.00, 1.00, True","1.00, 1.00, True","0.00, 1.00, True",None,"1.00, 1.00, None","1.00, 1.00, None","1.00, 1.00, None","0.00, 1.00, True",B,0.17
template_40,"0.00, 0.03, False","0.00, 0.03, False","0.00, 0.12, False","0.00, 0.12, False","0.00, 0.12, False","0.00, 0.12, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","1.00, 0.62, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","1.00, 0.62, False","0.00, 0.50, False","1.00, 0.62, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 1.00, False","0.00, 1.00, False","1.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","1.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","2.00, 1.00, True","1.00, 1.00, True","1.00, 1.00, True","1.00, 1.00, True","1.00, 1.00, True",None,"1.00, 1.00, None","1.00, 1.00, None","0.00, 1.00, True",B,0.17
template_39,"0.00, 0.03, False","0.00, 0.03, False","0.00, 0.12, False","0.00, 0.12, False","0.00, 0.12, False","0.00, 0.12, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","1.00, 1.00, True","1.00, 1.00, True","0.00, 1.00, True","1.00, 1.00, True","1.00, 1.00, True","1.00, 1.00, True",None,"0.00, 1.00, None","0.00, 1.00, True",B,0.17
template_38,"0.00, 0.03, False","0.00, 0.03, False","0.00, 0.12, False","0.00, 0.12, False","0.00, 0.12, False","0.00, 0.12, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","1.00, 1.00, True","1.00, 1.00, True","0.00, 1.00, True","1.00, 1.00, True","1.00, 1.00, True","1.00, 1.00, True","0.00, 1.00, True",None,"0.00, 1.00, True",B,0.17
template_36,"0.00, 0.02, False","0.00, 0.02, False","0.00, 0.06, False","0.00, 0.06, False","0.00, 0.06, False","0.00, 0.06, False","0.00, 0.12, False","0.00, 0.12, False","0.00, 0.12, False","0.00, 0.12, False","0.00, 0.12, False","0.00, 0.12, False","0.00, 0.12, False","0.00, 0.12, False","0.00, 0.12, False","0.00, 0.12, False","0.00, 0.12, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.25, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","0.00, 0.50, False","1.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False",None,B,0.16
