"statistic, pvalue, row is better than column",best set: template_2,template_16,template_3,template_17,template_13,template_50,template_33,template_8,template_52,template_12,template_10,template_44,template_39,template_37,template_41,template_11,template_38,template_6,template_4,template_7,template_35,template_5,template_24,template_9,template_48,template_45,template_0,template_47,template_31,template_40,template_19,template_29,template_53,template_32,template_36,template_42,template_30,template_28,template_51,template_22,template_46,template_18,template_21,template_23,template_54,template_34,template_20,template_25,template_27,template_1,template_14,template_55,template_49,template_26,template_15,template_43,group,accuracy
template_10,"12.00, 0.16, False","17.00, 0.35, False","39.00, 0.59, False","40.00, 0.66, False","38.00, 0.74, False","18.00, 0.64, False","39.00, 0.82, False","17.00, 0.87, False","13.00, 0.85, False","13.00, 1.00, False",None,"23.00, 1.00, None","40.00, 1.00, None","41.00, 1.00, True","44.00, 1.00, True","40.00, 1.00, True","17.00, 1.00, True","17.00, 1.00, True","16.00, 0.74, True","40.00, 0.83, True","45.00, 0.76, True","38.00, 0.74, True","11.00, 0.56, True","40.00, 0.66, True","26.00, 0.51, True","34.00, 0.49, True","16.00, 0.34, True","38.00, 0.51, True","38.00, 0.51, True","20.00, 0.31, True","39.00, 0.45, True","41.00, 0.40, True","36.00, 0.37, True","18.00, 0.23, True","16.00, 0.21, True","25.00, 0.25, True","14.00, 0.14, True","18.00, 0.14, True","33.00, 0.25, True","23.00, 0.18, True","19.00, 0.15, True","21.00, 0.13, True","44.00, 0.23, True","37.00, 0.20, True","17.00, 0.06, True","17.00, 0.06, True","23.00, 0.07, True","36.00, 0.11, True","38.00, 0.10, True","36.00, 0.09, True","23.00, 0.04, True","34.00, 0.07, True","31.00, 0.04, True","16.00, 0.01, True","38.00, 0.03, True","35.00, 0.00, True",A,0.639
template_44,"13.00, 0.18, False","15.00, 0.32, False","36.00, 0.57, False","34.00, 0.64, False","41.00, 0.75, False","16.00, 0.62, False","40.00, 0.83, False","20.00, 0.88, False","15.00, 0.86, False","23.00, 1.00, False","23.00, 1.00, True",None,"41.00, 1.00, None","41.00, 1.00, True","43.00, 1.00, True","38.00, 1.00, True","27.00, 1.00, True","26.00, 1.00, True","25.00, 0.78, True","38.00, 0.82, True","46.00, 0.76, True","40.00, 0.74, True","20.00, 0.65, True","40.00, 0.66, True","21.00, 0.47, True","32.00, 0.48, True","24.00, 0.42, True","38.00, 0.51, True","36.00, 0.50, True","29.00, 0.39, True","37.00, 0.44, True","41.00, 0.40, True","38.00, 0.39, True","28.00, 0.32, True","18.00, 0.23, True","17.00, 0.17, True","17.00, 0.17, True","27.00, 0.21, True","33.00, 0.25, True","27.00, 0.21, True","20.00, 0.16, True","27.00, 0.18, True","42.00, 0.22, True","38.00, 0.20, True","16.00, 0.05, True","25.00, 0.10, True","29.00, 0.10, True","35.00, 0.11, True","38.00, 0.10, True","35.00, 0.09, True","29.00, 0.06, True","35.00, 0.07, True","31.00, 0.04, True","26.00, 0.02, True","38.00, 0.03, True","35.00, 0.00, True",A,0.639
template_39,"37.00, 0.38, False","42.00, 0.53, False","23.00, 0.49, False","22.00, 0.57, False","22.00, 0.67, False","40.00, 0.74, False","25.00, 0.78, False","42.00, 0.91, False","37.00, 0.91, False","37.00, 1.00, False","40.00, 1.00, True","41.00, 1.00, True",None,"19.00, 1.00, True","21.00, 1.00, True","17.00, 1.00, True","42.00, 1.00, True","40.00, 1.00, True","40.00, 0.83, True","23.00, 0.78, True","23.00, 0.67, True","22.00, 0.67, True","41.00, 0.75, True","20.00, 0.55, True","40.00, 0.59, True","22.00, 0.40, True","37.00, 0.51, True","22.00, 0.40, True","17.00, 0.35, True","40.00, 0.46, True","21.00, 0.32, True","18.00, 0.23, True","16.00, 0.21, True","33.00, 0.36, True","34.00, 0.36, True","36.00, 0.32, True","36.00, 0.32, True","33.00, 0.25, True","17.00, 0.14, True","41.00, 0.30, True","37.00, 0.28, True","41.00, 0.26, True","25.00, 0.13, True","26.00, 0.14, True","33.00, 0.15, True","30.00, 0.13, True","39.00, 0.15, True","15.00, 0.03, True","23.00, 0.04, True","19.00, 0.03, True","42.00, 0.11, True","19.00, 0.02, True","16.00, 0.01, True","35.00, 0.04, True","17.00, 0.00, True","16.00, 0.00, True",A,0.639
template_37,"36.00, 0.32, False","40.00, 0.46, False","19.00, 0.37, False","22.00, 0.48, False","24.00, 0.58, False","37.00, 0.65, False","20.00, 0.65, False","40.00, 0.83, False","40.00, 0.83, False","39.00, 0.91, False","41.00, 1.00, False","41.00, 1.00, False","19.00, 1.00, False",None,"26.00, 1.00, None","27.00, 1.00, None","41.00, 1.00, None","41.00, 1.00, None","41.00, 0.91, True","24.00, 0.89, True","23.00, 0.78, True","26.00, 0.79, True","42.00, 0.83, True","19.00, 0.64, True","40.00, 0.66, True","25.00, 0.50, True","37.00, 0.58, True","25.00, 0.50, True","18.00, 0.44, True","40.00, 0.52, True","22.00, 0.40, True","19.00, 0.30, True","24.00, 0.35, True","34.00, 0.42, True","34.00, 0.42, True","38.00, 0.39, True","35.00, 0.37, True","34.00, 0.31, True","22.00, 0.22, True","35.00, 0.31, True","38.00, 0.33, True","35.00, 0.27, True","25.00, 0.16, True","23.00, 0.15, True","35.00, 0.19, True","33.00, 0.18, True","35.00, 0.16, True","22.00, 0.07, True","26.00, 0.07, True","25.00, 0.06, True","36.00, 0.11, True","23.00, 0.04, True","18.00, 0.01, True","37.00, 0.06, True","23.00, 0.01, True","23.00, 0.00, True",A,0.636
template_41,"38.00, 0.33, False","42.00, 0.47, False","28.00, 0.45, False","27.00, 0.52, False","24.00, 0.58, False","42.00, 0.67, False","27.00, 0.69, False","46.00, 0.84, False","45.00, 0.84, False","41.00, 0.91, False","44.00, 1.00, False","43.00, 1.00, False","21.00, 1.00, False","26.00, 1.00, True",None,"26.00, 1.00, None","45.00, 1.00, None","43.00, 1.00, None","46.00, 0.92, True","29.00, 0.90, True","25.00, 0.78, True","26.00, 0.79, True","45.00, 0.84, True","31.00, 0.71, True","42.00, 0.67, True","25.00, 0.50, True","37.00, 0.58, True","27.00, 0.52, True","26.00, 0.51, True","40.00, 0.52, True","28.00, 0.45, True","24.00, 0.35, True","21.00, 0.32, True","39.00, 0.45, True","40.00, 0.46, True","40.00, 0.40, True","41.00, 0.40, True","39.00, 0.34, True","22.00, 0.22, True","46.00, 0.37, True","38.00, 0.33, True","44.00, 0.31, True","30.00, 0.19, True","30.00, 0.19, True","37.00, 0.20, True","37.00, 0.20, True","44.00, 0.20, True","24.00, 0.08, True","21.00, 0.05, True","25.00, 0.06, True","42.00, 0.13, True","22.00, 0.04, True","24.00, 0.03, True","41.00, 0.07, True","28.00, 0.02, True","20.00, 0.00, True",A,0.636
template_11,"35.00, 0.31, False","40.00, 0.46, False","19.00, 0.37, False","17.00, 0.43, False","16.00, 0.51, False","37.00, 0.65, False","26.00, 0.69, False","42.00, 0.83, False","36.00, 0.82, False","37.00, 0.91, False","40.00, 1.00, False","38.00, 1.00, False","17.00, 1.00, False","27.00, 1.00, True","26.00, 1.00, True",None,"44.00, 1.00, None","43.00, 1.00, None","40.00, 0.91, True","20.00, 0.88, True","31.00, 0.80, True","15.00, 0.73, True","40.00, 0.83, True","19.00, 0.64, True","41.00, 0.67, True","19.00, 0.45, True","37.00, 0.58, True","23.00, 0.49, True","20.00, 0.46, True","42.00, 0.53, True","22.00, 0.40, True","24.00, 0.35, True","13.00, 0.23, True","35.00, 0.43, True","36.00, 0.43, True","35.00, 0.37, True","38.00, 0.39, True","37.00, 0.33, True","17.00, 0.17, True","42.00, 0.35, True","36.00, 0.32, True","40.00, 0.29, True","29.00, 0.19, True","23.00, 0.15, True","33.00, 0.18, True","36.00, 0.19, True","41.00, 0.18, True","7.00, 0.01, True","22.00, 0.05, True","14.00, 0.02, True","42.00, 0.13, True","20.00, 0.03, True","22.00, 0.02, True","42.00, 0.08, True","18.00, 0.01, True","16.00, 0.00, True",A,0.636
template_38,"19.00, 0.19, False","22.00, 0.33, False","38.00, 0.51, False","37.00, 0.58, False","42.00, 0.67, False","18.00, 0.53, False","38.00, 0.74, False","23.00, 0.78, False","21.00, 0.77, False","19.00, 0.87, False","17.00, 1.00, False","27.00, 1.00, False","42.00, 1.00, False","41.00, 1.00, True","45.00, 1.00, True","44.00, 1.00, True",None,"25.00, 1.00, None","27.00, 0.89, True","40.00, 0.91, True","44.00, 0.83, True","40.00, 0.83, True","21.00, 0.77, True","42.00, 0.75, True","27.00, 0.60, True","36.00, 0.57, True","22.00, 0.48, True","41.00, 0.59, True","38.00, 0.58, True","17.00, 0.35, True","40.00, 0.52, True","39.00, 0.45, True","40.00, 0.46, True","21.00, 0.32, True","17.00, 0.28, True","28.00, 0.32, True","17.00, 0.22, True","16.00, 0.16, True","37.00, 0.33, True","26.00, 0.25, True","23.00, 0.23, True","29.00, 0.23, True","40.00, 0.25, True","38.00, 0.24, True","22.00, 0.11, True","18.00, 0.09, True","25.00, 0.10, True","40.00, 0.15, True","37.00, 0.11, True","41.00, 0.13, True","24.00, 0.06, True","37.00, 0.09, True","33.00, 0.05, True","25.00, 0.03, True","38.00, 0.03, True","38.00, 0.00, True",A,0.636
template_6,"15.00, 0.15, False","22.00, 0.33, False","37.00, 0.51, False","40.00, 0.59, False","36.00, 0.65, False","23.00, 0.58, False","37.00, 0.73, False","20.00, 0.76, False","19.00, 0.76, False","17.00, 0.87, False","17.00, 1.00, False","26.00, 1.00, False","40.00, 1.00, False","41.00, 1.00, True","43.00, 1.00, True","43.00, 1.00, True","25.00, 1.00, True",None,"11.00, 0.84, True","39.00, 0.91, True","42.00, 0.83, True","39.00, 0.82, True","25.00, 0.78, True","38.00, 0.74, True","24.00, 0.58, True","34.00, 0.56, True","19.00, 0.45, True","32.00, 0.55, True","36.00, 0.57, True","28.00, 0.45, True","39.00, 0.52, True","39.00, 0.45, True","37.00, 0.44, True","19.00, 0.30, True","21.00, 0.32, True","24.00, 0.29, True","20.00, 0.25, True","20.00, 0.20, True","33.00, 0.30, True","25.00, 0.25, True","18.00, 0.18, True","21.00, 0.17, True","41.00, 0.26, True","36.00, 0.23, True","19.00, 0.09, True","18.00, 0.09, True","19.00, 0.07, True","39.00, 0.15, True","38.00, 0.12, True","36.00, 0.11, True","21.00, 0.05, True","32.00, 0.07, True","26.00, 0.03, True","22.00, 0.02, True","35.00, 0.03, True","29.00, 0.00, True",A,0.636
template_4,"15.00, 0.09, False","21.00, 0.21, False","37.00, 0.38, False","38.00, 0.45, False","37.00, 0.51, False","24.00, 0.42, False","38.00, 0.58, False","21.00, 0.56, False","21.00, 0.56, False","16.00, 0.62, False","16.00, 0.74, False","25.00, 0.78, False","40.00, 0.83, False","41.00, 0.91, False","46.00, 0.92, False","40.00, 0.91, False","27.00, 0.89, False","11.00, 0.84, False",None,"42.00, 1.00, None","46.00, 1.00, True","42.00, 1.00, True","24.00, 1.00, True","40.00, 0.91, True","28.00, 0.79, True","36.00, 0.73, True","18.00, 0.64, True","35.00, 0.73, True","39.00, 0.74, True","30.00, 0.62, True","44.00, 0.68, True","41.00, 0.59, True","38.00, 0.58, True","19.00, 0.45, True","20.00, 0.46, True","26.00, 0.43, True","21.00, 0.39, True","22.00, 0.33, True","36.00, 0.43, True","27.00, 0.37, True","18.00, 0.29, True","19.00, 0.24, True","48.00, 0.38, True","40.00, 0.34, True","21.00, 0.17, True","22.00, 0.18, True","25.00, 0.16, True","40.00, 0.21, True","42.00, 0.19, True","39.00, 0.17, True","24.00, 0.10, True","36.00, 0.13, True","30.00, 0.07, True","24.00, 0.05, True","41.00, 0.06, True","34.00, 0.00, True",A,0.63
template_7,"36.00, 0.23, False","41.00, 0.35, False","20.00, 0.25, False","23.00, 0.34, False","17.00, 0.35, False","38.00, 0.51, False","26.00, 0.51, False","41.00, 0.67, False","37.00, 0.65, False","37.00, 0.73, False","40.00, 0.83, False","38.00, 0.82, False","23.00, 0.78, False","24.00, 0.89, False","29.00, 0.90, False","20.00, 0.88, False","40.00, 0.91, False","39.00, 0.91, False","42.00, 1.00, True",None,"28.00, 1.00, True","13.00, 1.00, True","43.00, 1.00, True","22.00, 0.88, True","44.00, 0.83, True","25.00, 0.68, True","40.00, 0.74, True","26.00, 0.69, True","23.00, 0.67, True","41.00, 0.67, True","21.00, 0.56, True","23.00, 0.49, True","18.00, 0.44, True","38.00, 0.58, True","40.00, 0.59, True","37.00, 0.51, True","39.00, 0.52, True","38.00, 0.45, True","25.00, 0.36, True","44.00, 0.48, True","37.00, 0.44, True","46.00, 0.43, True","24.00, 0.24, True","26.00, 0.25, True","36.00, 0.27, True","40.00, 0.29, True","44.00, 0.27, True","20.00, 0.10, True","23.00, 0.09, True","16.00, 0.05, True","43.00, 0.19, True","18.00, 0.05, True","18.00, 0.03, True","43.00, 0.11, True","22.00, 0.02, True","18.00, 0.00, True",A,0.63
template_35,"40.00, 0.21, False","42.00, 0.30, False","29.00, 0.27, False","29.00, 0.33, False","28.00, 0.38, False","43.00, 0.47, False","21.00, 0.39, False","40.00, 0.59, False","46.00, 0.61, False","45.00, 0.68, False","45.00, 0.76, False","46.00, 0.76, False","23.00, 0.67, False","23.00, 0.78, False","25.00, 0.78, False","31.00, 0.80, False","44.00, 0.83, False","42.00, 0.83, False","46.00, 1.00, False","28.00, 1.00, False",None,"31.00, 1.00, None","49.00, 1.00, None","29.00, 1.00, True","46.00, 0.92, True","33.00, 0.81, True","44.00, 0.83, True","32.00, 0.81, True","28.00, 0.79, True","46.00, 0.76, True","25.00, 0.68, True","20.00, 0.55, True","32.00, 0.63, True","37.00, 0.65, True","41.00, 0.67, True","45.00, 0.61, True","43.00, 0.60, True","39.00, 0.52, True","33.00, 0.48, True","44.00, 0.54, True","41.00, 0.53, True","43.00, 0.47, True","27.00, 0.31, True","31.00, 0.34, True","45.00, 0.37, True","37.00, 0.33, True","44.00, 0.31, True","25.00, 0.16, True","29.00, 0.15, True","31.00, 0.17, True","46.00, 0.24, True","30.00, 0.13, True","25.00, 0.06, True","44.00, 0.14, True","29.00, 0.04, True","24.00, 0.00, True",A,0.627
